发货时间,订单号,物流公司,运单号,包裹状态
2025-02-10 17:17:54,250210-578572859740884,韵达快递,464172104410739	,转运中
2025-02-10 17:16:39,250210-639463657872378,中通快递,78481538300943	,转运中
2025-02-10 17:16:39,250210-092086014351376,中通快递,78481538441556	,转运中
2025-02-10 17:16:39,250210-090701862520833,中通快递,78481538292353	,转运中
2025-02-10 17:16:38,250210-262060163461743,中通快递,78481538441548	,转运中
2025-02-10 17:16:38,250210-195171479120713,中通快递,78481538292552	,转运中
2025-02-10 17:16:37,250210-079125552653401,中通快递,78481538441535	,转运中
2025-02-10 17:15:48,250210-221459300661329,中通快递,78481538300880	,转运中
2025-02-10 17:15:48,250210-053037002262191,中通快递,78481538300956	,转运中
2025-02-10 17:15:20,250210-088394985032341,中通快递,78481538300027	,转运中
2025-02-10 17:14:54,250210-513183660374061,中通快递,78481538441627	,转运中
2025-02-10 17:14:54,250210-169586276694061,中通快递,78481538441627	,转运中
2025-02-10 17:12:59,250210-443222617682246,中通快递,78481538441522	,转运中
2025-02-10 17:12:59,250210-368123614802246,中通快递,78481538441522	,转运中
2025-02-10 17:12:59,250210-359735038282325,中通快递,78481538441576	,转运中
2025-02-10 17:12:59,250210-159016558233834,中通快递,78481538441497	,已揽件
2025-02-10 17:11:53,250210-525661652533717,中通快递,78481538292417	,转运中
2025-02-10 17:11:53,250210-495651407371476,中通快递,78481538441676	,转运中
2025-02-10 17:11:53,250210-485165699501449,中通快递,78481538300014	,转运中
2025-02-10 17:11:53,250210-427231843984059,中通快递,78481538441762	,转运中
2025-02-10 17:11:53,250210-279634286100659,中通快递,78481538291265	,转运中
2025-02-10 17:11:53,250210-190022971002740,中通快递,78481538300001	,转运中
2025-02-10 17:11:53,250210-186373905930547,中通快递,78481538441614	,转运中
2025-02-10 17:11:53,250210-152054013503960,中通快递,78481538292338	,转运中
2025-02-10 17:11:53,250210-126248568463864,中通快递,78481538300030	,转运中
2025-02-10 17:11:53,250210-093344263743361,中通快递,78481538441507	,转运中
2025-02-10 17:11:53,250210-053561300490905,中通快递,78481538441484	,转运中
2025-02-10 17:11:52,250210-356180323941002,中通快递,78481538299996	,转运中
2025-02-10 17:09:07,250210-634849902943978,中通快递,78481562372249	,转运中
2025-02-10 17:09:07,250210-634828951920406,中通快递,78481562476895	,转运中
2025-02-10 17:09:07,250210-598747399793328,中通快递,78481562476655	,转运中
2025-02-10 17:09:07,250210-571201297980298,中通快递,78481562476839	,转运中
2025-02-10 17:09:07,250210-492180620843632,中通快递,78481562372634	,转运中
2025-02-10 17:09:07,250210-366917773612791,中通快递,78481562370021	,转运中
2025-02-10 17:09:07,250210-355677059442160,中通快递,78481562369576	,转运中
2025-02-10 17:09:07,250210-288620593503865,中通快递,78481562372514	,转运中
2025-02-10 17:09:07,250210-263444272780624,中通快递,78481562369316	,转运中
2025-02-10 17:09:07,250210-173224804692478,中通快递,78481562372264	,转运中
2025-02-10 17:09:07,250210-127444007251390,中通快递,78481562372223	,转运中
2025-02-10 17:09:07,250210-097098176142320,中通快递,78481562477067	,转运中
2025-02-10 17:08:10,250210-516161595721189,中通快递,78481562476668	,转运中
